iter	Passed	Remaining
831	3814	770
832	3818	765
833	3826	761
834	3831	757
835	3838	753
836	3843	748
837	3851	744
838	3859	740
839	3863	735
840	3872	732
841	3877	727
842	3884	723
843	3889	718
844	3892	714
845	3898	709
846	3904	705
847	3908	700
848	3917	696
849	3921	692
850	3924	687
851	3930	682
852	3933	677
853	3936	673
854	3939	668
855	3943	663
856	3947	658
857	3950	653
858	3953	648
859	3956	644
860	3962	639
861	3965	634
862	3968	629
863	3971	625
864	3975	620
865	3979	615
866	3982	610
867	3985	606
868	3988	601
869	3992	596
870	3996	591
871	3999	587
872	4002	582
873	4007	577
874	4011	573
875	4014	568
876	4018	563
877	4022	558
878	4024	554
879	4027	549
880	4030	544
881	4033	539
882	4037	534
883	4041	530
884	4044	525
885	4047	520
886	4050	515
887	4055	511
888	4059	506
889	4062	502
890	4065	497
891	4070	492
892	4073	488
893	4074	483
894	4077	478
895	4080	473
896	4084	469
897	4087	464
898	4090	459
899	4094	454
900	4097	450
901	4102	445
902	4106	441
903	4109	436
904	4113	431
905	4118	427
906	4124	422
907	4130	418
908	4137	414
909	4143	409
910	4151	405
911	4159	401
912	4167	397
913	4174	392
914	4181	388
915	4188	384
916	4192	379
917	4200	375
918	4204	370
919	4207	365
920	4212	361
921	4218	356
922	4221	352
923	4225	347
924	4232	343
925	4236	338
926	4239	333
927	4245	329
928	4249	324
929	4252	320
930	4255	315
931	4260	310
932	4264	306
933	4267	301
934	4270	296
935	4275	292
936	4278	287
937	4281	283
938	4282	278
939	4284	273
940	4285	268
941	4289	264
942	4293	259
943	4297	254
944	4300	250
945	4304	245
946	4308	241
947	4311	236
948	4314	231
949	4317	227
950	4319	222
951	4322	217
952	4326	213
953	4329	208
954	4332	204
955	4337	199
956	4340	195
957	4343	190
958	4346	185
959	4349	181
960	4354	176
961	4357	172
962	4360	167
963	4362	162
964	4369	158
965	4373	153
966	4376	149
967	4379	144
968	4383	140
969	4387	135
970	4390	131
971	4394	126
972	4398	122
973	4404	117
974	4409	113
975	4414	108
